ClusterID,ClusterName,Organism,subunits(UniProt IDs),subunits(Entrez IDs),subunits(Protein name),subunits(Gene name),Complex comment,subunits(Gene name syn)
1202,TRF1 telomere length regulation complex,Human,O95271;P54274;Q9BSI4,8658;7013;26277,Tankyrase-1 ;Telomeric repeat-binding factor 1 ;TERF1-interacting nuclear factor 2,TNKS;TERF1;TINF2,Inhibition of TRF1 by tankyrase 1 is controlled by TIN2.,PARP5A PARPL TIN1 TINF1 TNKS1;PIN2 TRBF1 TRF TRF1;TIN2
1203,Oligosaccharyltransferase OSTC-I,Dog,P04843;P04844;P46977;P61803;Q05052;Q8N6L1;Q9NRP0,6184;6185;3703;1603;404012;200185;58505,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 ;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 ;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A ;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 ;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit ;Keratinocyte-associated protein 2 ;Oligosaccharyltransferase complex subunit OSTC,RPN1;RPN2;STT3A;DAD1;DDOST;KRTCAP2;OSTC,Oligosaccharyltransferase (OST) catalyzes the cotranslational transfer of high-mannose sugars to nascent polypeptides during N-linked glycosylation in the rough endoplasmic reticulum lumen.,;;ITM1 TMC;;OST48;KCP2;
1204,Rap1 complex,Human,P54274;Q15554;Q92878;Q96AP0;Q9BSI4;Q9NUX5;Q9NYB0,7013;7014;10111;65057;26277;25913;54386,Telomeric repeat-binding factor 1 ;Telomeric repeat-binding factor 2 ;DNA repair protein RAD50 ;Adrenocortical dysplasia protein homolog ;TERF1-interacting nuclear factor 2 ;Protection of telomeres protein 1 ;Telomeric repeat-binding factor 2-interacting protein 1,TERF1;TERF2;RAD50;ACD;TINF2;POT1;TERF2IP,"TIN2 was found to bind TRF1 and TRF2 simultaneously, showing that TIN2 can link these telomeric proteins. This connection appeared to stabilize TRF2 on the telomeres as the treatment of cells with TIN2 small interfering RNA resulted in a decreased presence of TRF2 and hRap1 at chromosome ends. Only 5-10% of the endogenous TRF1 could be recovered in association with the hRap1 complex.",PIN2 TRBF1 TRF TRF1;TRBF2 TRF2;;PIP1 PTOP TINT1 TPP1;TIN2;;DRIP5 RAP1
1205,TRF2-Rap1 complex III,Human,Q15554;Q9NYB0,7014;54386,Telomeric repeat-binding factor 2 ;Telomeric repeat-binding factor 2-interacting protein 1,TERF2;TERF2IP,The TRF2 complex is primarily involved in telomere protection and contains the TRF2 interacting partner human (h)Rap1 as well as several factors involved in the DNA damage response.,TRBF2 TRF2;DRIP5 RAP1
1206,"TRF-Rap1 complex I, 2MD",Human,O95271;P54274;Q15554;Q9BSI4;Q9NUX5;Q9NYB0,8658;7013;7014;26277;25913;54386,Tankyrase-1 ;Telomeric repeat-binding factor 1 ;Telomeric repeat-binding factor 2 ;TERF1-interacting nuclear factor 2 ;Protection of telomeres protein 1 ;Telomeric repeat-binding factor 2-interacting protein 1,TNKS;TERF1;TERF2;TINF2;POT1;TERF2IP,None,PARP5A PARPL TIN1 TINF1 TNKS1;PIN2 TRBF1 TRF TRF1;TRBF2 TRF2;TIN2;;DRIP5 RAP1
1208,Oligosaccharyltransferase OSTC-II,Dog,P04843;P04844;P38377;P46977;P60058;P60467;P61803;Q05052;Q8N6L1;Q9NRP0,6184;6185;404006;3703;404017;404018;1603;404012;200185;58505,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 ;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 ;Protein transport protein Sec61 subunit alpha isoform 1 ;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A ;Protein transport protein Sec61 subunit gamma;Protein transport protein Sec61 subunit beta;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 ;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit ;Keratinocyte-associated protein 2 ;Oligosaccharyltransferase complex subunit OSTC,RPN1;RPN2;SEC61A1;STT3A;SEC61G;SEC61B;DAD1;DDOST;KRTCAP2;OSTC,Oligosaccharyltransferase (OST) catalyzes the cotranslational transfer of high-mannose sugars to nascent polypeptides during N-linked glycosylation in the rough endoplasmic reticulum lumen.,;;;ITM1 TMC;;;;OST48;KCP2;
1209,Oligosaccharyltransferase OSTC-III,Dog,P04843;P04844;P16967;P38377;P46977;P60467;P61803;Q05052;Q8N6L1;Q9NRP0;Q9UNL2,6184;6185;403951;404006;3703;404018;1603;404012;200185;58505;6747,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 ;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 ;Translocon-associated protein subunit alpha ;Protein transport protein Sec61 subunit alpha isoform 1 ;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A ;Protein transport protein Sec61 subunit beta;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 ;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit ;Keratinocyte-associated protein 2 ;Oligosaccharyltransferase complex subunit OSTC ;Translocon-associated protein subunit gamma,RPN1;RPN2;SSR1;SEC61A1;STT3A;SEC61B;DAD1;DDOST;KRTCAP2;OSTC;SSR3,Oligosaccharyltransferase (OST) catalyzes the cotranslational transfer of high-mannose sugars to nascent polypeptides during N-linked glycosylation in the rough endoplasmic reticulum lumen.,;;;;ITM1 TMC;;;OST48;KCP2;;TRAPG
1210,Sec61-Sec62-Sec63 complex,Bovine,P60468;Q2KHX4;Q3T104;Q5EA68;Q99442;Q9UGP8,10952;614128;615778;505064;7095;11231,Protein transport protein Sec61 subunit beta;Protein transport protein Sec61 subunit alpha isoform 2 ;Protein transport protein Sec61 subunit gamma;Protein transport protein Sec61 subunit alpha isoform 1 ;Translocation protein SEC62 ;Translocation protein SEC63 homolog,SEC61B;SEC61A2;SEC61G;SEC61A1;SEC62;SEC63,"The Sec61-Sec62-Sec63 complex plays a crucial role in the insertion of secretory and membrane polypeptides into the ER. It is required for assembly of membrane and secretory proteins. The complex is thightly associated with membrane-bound ribosomes, either directly or through adapter proteins.",;;;;TLOC1;SEC63L
1211,"Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)",Human,P27540;P35869;P62877;Q12788;Q13620;Q16531,405;196;9978;10607;8450;1642,Aryl hydrocarbon receptor nuclear translocator ;Aryl hydrocarbon receptor ;E3 ubiquitin-protein ligase RBX1 ;Transducin beta-like protein 3 ;Cullin-4B ;DNA damage-binding protein 1,ARNT;AHR;RBX1;TBL3;CUL4B;DDB1,"Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. In the CUL4B(AhR) ubiquitin E3 ligase complex, ligand-activated dioxin receptor AhR acts as a substrate-specific adaptor component that targets sex steroid receptors for degradation. Thus, experiments uncover a function for AhR as an atypical component of the ubiquitin ligase complex and demonstrate a non-genomic signalling pathway in which fat-soluble ligands regulate target-protein-selective degradation through a ubiquitin ligase complex.",BHLHE2;BHLHE76;RNF75 ROC1;SAZD;KIAA0695;XAP1
1212,"SNARE complex (Stx4, Vamp8, Snap23)",Mouse,O09044;O70404;P70452,20619;22320;20909,Synaptosomal-associated protein 23 ;Vesicle-associated membrane protein 8 ;Syntaxin-4,Snap23;Vamp8;Stx4,SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.VAMP8/endobrevin  is a major player in regulated exocytosis of the exocrine pancreas (pancreatic acinar cells). It is enriched on the membrane of zymogen granules.,Sndt;;Stx4a
1214,"Ubiquitin E3 ligase (DET1, DDB1, CUL4A, RBX1, COP1)",Human,P62877;Q13619;Q16531;Q7L5Y6;Q8NHY2,9978;8451;1642;55070;64326,E3 ubiquitin-protein ligase RBX1 ;Cullin-4A ;DNA damage-binding protein 1 ;DET1 homolog ;E3 ubiquitin-protein ligase RFWD2,RBX1;CUL4A;DDB1;DET1;RFWD2,Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Human DET1 (hDET1) promotes ubiquitination and degradation of the proto-oncogenic transcription factor c-Jun by assembling a multisubunit ubiquitin E3 ligase. Ablation of any subunit by RNA interference stabilized c-Jun and increased c-Jun-activated transcription.,RNF75 ROC1;;XAP1;;COP1 RNF200
1216,Hspb2-Hspb3 complex,Rat,O35878;Q9QZ58,161476;78951,Heat shock protein beta-2 ;Heat shock protein beta-3,Hspb2;Hspb3,None,;
1217,WRN-TRF2 complex,Human,Q14191;Q15554,7486;7014,Werner syndrome ATP-dependent helicase ;Telomeric repeat-binding factor 2,WRN;TERF2,TRF2 interaction with WRN results in a stimulation of WRN-helicase activity.,RECQ3 RECQL2;TRBF2 TRF2
1218,BLM-TRF2 complex,Human,P54132;Q15554,641;7014,Bloom syndrome protein ;Telomeric repeat-binding factor 2,BLM;TERF2,None,RECQ2 RECQL3;TRBF2 TRF2
1219,Tankyrin 1-tankyrin 2-TRF1 complex,Human,O95271;P54274;Q9H2K2,8658;7013;80351,Tankyrase-1 ;Telomeric repeat-binding factor 1 ;Tankyrase-2,TNKS;TERF1;TNKS2,TRF1 binding allows tankyrase to regulate telomere dynamics. Mouse TRF1 lacks the binding motif for tankyrase.,PARP5A PARPL TIN1 TINF1 TNKS1;PIN2 TRBF1 TRF TRF1;PARP5B TANK2 TNKL
1220,TRF2-Ku complex,Human,P12956;P13010;Q15554,2547;7520;7014,X-ray repair cross-complementing protein 6 ;X-ray repair cross-complementing protein 5 ;Telomeric repeat-binding factor 2,XRCC6;XRCC5;TERF2,None,G22P1;G22P2;TRBF2 TRF2
1221,TFIIA-TRF2 complex,Human,P52655;P52657;Q15554,2957;2958;7014,Transcription initiation factor IIA subunit 1 ;Transcription initiation factor IIA subunit 2 ;Telomeric repeat-binding factor 2,GTF2A1;GTF2A2;TERF2,TRF2-TFIIA complex is able to replace TBP or TFIID in basal or activated transcription from various RNA polymerase II promoters.,TF2A1;TF2A2;TRBF2 TRF2
1222,Irs1-Grb2-Ptpn1 complex,Rat,P20417;P35570;P62994,24697;25467;81504,Tyrosine-protein phosphatase non-receptor type 1 ;Insulin receptor substrate 1 ;Growth factor receptor-bound protein 2,Ptpn1;Irs1;Grb2,The authors suggest that PTP1B and GRB2 may influence the steady-state capacity of IRS-1 to function as a phosphotyrosine scaffold and possibly affect the balance of postreceptor insulin signaling.,;Irs-1;Ash
1223,"H2AX complex, isolated from cells without IR exposure",Human,O43390;P05455;P06748;P11021;P11940;P16104;P27797;P62158;P62805;Q08945;Q8N257;Q9Y262;Q9Y5B9,10236;6741;4869;3309;26986;3014;811;None;None;6749;128312;51386;11198,Heterogeneous nuclear ribonucleoprotein R ;Lupus La protein ;Nucleophosmin ;78 kDa glucose-regulated protein ;Polyadenylate-binding protein 1 ;Histone H2AX ;Calreticulin ;Calmodulin ;Histone H4;FACT complex subunit SSRP1 ;Histone H2B type 3-B ;Eukaryotic translation initiation factor 3 subunit L ;FACT complex subunit SPT16,HNRNPR;SSB;NPM1;HSPA5;PABPC1;H2AFX;CALR;CALM1; CAL;HIST1H4A; ;SSRP1;HIST3H2BB;EIF3L;SUPT16H,None,HNRPR;;NPM;GRP78;PAB1 PABP1 PABPC2;H2AX;CRTC;CALM CAM CAM1; CAM2 CAMB; CALML2 CAM3 CAMC CAMIII;H4/A H4FA; H4/I H4FI; H4/G H4FG; H4/B H4FB; H4/J H4FJ; H4/C H4FC; H4/H H4FH; H4/M H4FM; H4/E H4FE; H;FACT80;;EIF3EIP EIF3S6IP;FACT140 FACTP140
1224,"Ubiquitin E3 ligase (BMI1, SPOP, CUL3)",Human,O43791;P35226;Q13618,8405;648;8452,Speckle-type POZ protein ;Polycomb complex protein BMI-1 ;Cullin-3,SPOP;BMI1;CUL3,"Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. X inactivation involves the stable silencing of one of the two X chromosomes in XX female mammals. Initiation of this process occurs during early development and involves Xist (X-inactive-specific transcript) RNA coating and the recruitment of Polycomb repressive complex (PRC) 2 and PRC1 proteins. This recruitment results in an inactive state that is initially labile but is further locked in by epigenetic marks such as DNA methylation, histone hypoacetylation, and MACROH2A deposition. The ubiquitin E3 ligase consisting of SPOP and CULLIN3 is able to ubiquitinate the Polycomb group protein BMI1 and the variant histone H2AFY.",;PCGF4 RNF51;KIAA0617
1225,"Ubiquitin E3 ligase (H2AFY, SPOP, CUL3)",Human,O43791;O75367;Q13618,8405;9555;8452,Speckle-type POZ protein ;Core histone macro-H2A.1 ;Cullin-3,SPOP;H2AFY;CUL3,"Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. X inactivation involves the stable silencing of one of the two X chromosomes in XX female mammals. Initiation of this process occurs during early development and involves Xist (X-inactive-specific transcript) RNA coating and the recruitment of Polycomb repressive complex (PRC) 2 and PRC1 proteins. This recruitment results in an inactive state that is initially labile but is further locked in by epigenetic marks such as DNA methylation, histone hypoacetylation, and MACROH2A deposition. The ubiquitin E3 ligase consisting of SPOP and CULLIN3 is able to ubiquitinate the Polycomb group protein BMI1 and the variant histone H2AFY.",;MACROH2A1;KIAA0617
1226,H2AX complex I,Human,P06748;P09874;P11021;P16104;P27797;Q7L2E3;Q8N257,4869;142;3309;3014;811;22907;128312,Nucleophosmin ;Poly [ADP-ribose] polymerase 1 ;78 kDa glucose-regulated protein ;Histone H2AX ;Calreticulin ;Putative ATP-dependent RNA helicase DHX30 ;Histone H2B type 3-B,NPM1;PARP1;HSPA5;H2AFX;CALR;DHX30;HIST3H2BB,This complex has been isolated from cells after IR exposure and recovery for 30 minutes.,NPM;ADPRT PPOL;GRP78;H2AX;CRTC;DDX30 KIAA0890;
1227,H2AX complex II,Human,P06748;P11021;P16104;P16989;P27797;P33778;P62805;Q8N257;Q96EY7;Q99879,4869;3309;3014;8531;811;3018;None;128312;55037;8342,"Nucleophosmin ;78 kDa glucose-regulated protein ;Histone H2AX ;Y-box-binding protein 3 ;Calreticulin ;Histone H2B type 1-B ;Histone H4;Histone H2B type 3-B ;Pentatricopeptide repeat domain-containing protein 3, mitochondrial ;Histone H2B type 1-M",NPM1;HSPA5;H2AFX;YBX3;CALR;HIST1H2BB;HIST1H4A; ;HIST3H2BB;PTCD3;HIST1H2BM,This complex has been isolated from cells after IR exposure and recovery for 2.5h.,NPM;GRP78;H2AX;CSDA DBPA;CRTC;H2BFF;H4/A H4FA; H4/I H4FI; H4/G H4FG; H4/B H4FB; H4/J H4FJ; H4/C H4FC; H4/H H4FH; H4/M H4FM; H4/E H4FE; H;;MRPS39;H2BFE
1228,Epsin-clathrin complex,Rat,O08838;O88339;P18484;P84092;Q05140,60668;117277;81637;116563;65178,Amphiphysin;Epsin-1 ;AP-2 complex subunit alpha-2 ;AP-2 complex subunit mu ;Clathrin coat assembly protein AP180,Amph;Epn1;Ap2a2;Ap2m1;Snap91,"AP-2, clathrin, amphiphysin, eps15, and beta -arrestin, epsin form a multivalent protein network that probably influences the endocytic process.",Amph1;;Adtab;;
1229,RACK1-containing mRNP complex,Rat,P63245;Q6AY21;Q9EPH8;Q9JIR1,83427;305240;171350;266780,Receptor of activated protein C kinase 1 ;GTPase activating protein ;Polyadenylate-binding protein 1 ;RIMS-binding protein 2,Rack1;G3bp2;Pabpc1;Rimbp2,None,Gnb2l1;RGD1309571;Pabp1;Rbp2
1230,WINAC complex,Human,O14497;O96019;P11473;P51531;P51532;Q02880;Q12824;Q13111;Q8TAQ2;Q92922;Q969G3;Q96GM5;Q9UIG0;Q9Y5B9,8289;86;7421;6595;6597;7155;6598;10036;6601;6599;6605;6602;9031;11198,AT-rich interactive domain-containing protein 1A ;Actin-like protein 6A ;Vitamin D3 receptor ;Probable global transcription activator SNF2L2 ;Transcription activator BRG1 ;DNA topoisomerase 2-beta ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 ;Chromatin assembly factor 1 subunit A ;SWI/SNF complex subunit SMARCC2 ;SWI/SNF complex subunit SMARCC1 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 ;Tyrosine-protein kinase BAZ1B ;FACT complex subunit SPT16,ARID1A;ACTL6A;VDR;SMARCA2;SMARCA4;TOP2B;SMARCB1;CHAF1A;SMARCC2;SMARCC1;SMARCE1;SMARCD1;BAZ1B;SUPT16H,"WINAC mediates the recruitment of unliganded VDR to VDR target sites in promoters, while subsequent binding of coregulators requires ligand binding.",BAF250 BAF250A C1orf4 OSA1 SMARCF1;BAF53 BAF53A INO80K;NR1I1;BAF190B BRM SNF2A SNF2L2;BAF190A BRG1 SNF2B SNF2L4;;BAF47 INI1 SNF5L1;CAF CAF1P150;BAF170;BAF155;BAF57;BAF60A;WBSC10 WBSCR10 WBSCR9 WSTF;FACT140 FACTP140
1231,FIB-associated protein complex,Human,O14744;P22087;Q07021;Q71U36;Q99873;Q9H4B7,10419;2091;708;7846;3276;81027,"Protein arginine N-methyltransferase 5 ;rRNA 2'-O-methyltransferase fibrillarin ;Complement component 1 Q subcomponent-binding protein, mitochondrial ;Tubulin alpha-1A chain ;Protein arginine N-methyltransferase 1 ;Tubulin beta-1 chain",PRMT5;FBL;C1QBP;TUBA1A;PRMT1;TUBB1,"FIB-associated protein complexes contain a number of ribosomal proteins and potential trans-acting factors involved in ribosome biogenesis, and the complexes are dependent on RNA integrity.",HRMT1L5 IBP72 JBP1 SKB1;FIB1 FLRN;GC1QBP HABP1 SF2P32;TUBA3;HMT2 HRMT1L2 IR1B4;
1232,REST-CoREST-mSIN3A complex,Human,Q13127;Q96ST3;Q9UKL0,5978;25942;23186,RE1-silencing transcription factor ;Paired amphipathic helix protein Sin3a ;REST corepressor 1,REST;SIN3A;RCOR1,"The REST-mSin3A association involves the NH(2)-terminal repressor domain of REST and the paired amphipathic helix 2 domain of mSin3A. REST forms complexes with endogenous mSin3A in mammalian cells, and both mSin3A and CoREST interact with REST in intact mammalian cells.",NRSF XBR;;KIAA0071 RCOR
1233,CoREST-HDAC2 complex,Human,Q92769;Q9UKL0,3066;23186,Histone deacetylase 2 ;REST corepressor 1,HDAC2;RCOR1,"In the presence of REST, the CoREST/HDAC2 complex represses transcription of the Nav1.2 sodium channel gene.",;KIAA0071 RCOR
1235,"SNARE complex (Vamp2, Snap25, Stx1a, Syt1, Cplx1)",Rat,P21707;P32851;P60881;P63041;P63045,25716;116470;25012;64832;24803,Synaptotagmin-1 ;Syntaxin-1A ;Synaptosomal-associated protein 25 ;Complexin-1 ;Vesicle-associated membrane protein 2,Syt1;Stx1a;Snap25;Cplx1;Vamp2,SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.,;Sap;Snap;;Syb2
1236,"SNARE complex (Vamp2, Snap25, Stx1a, Syt1, Cplx2)",Rat,P21707;P32851;P60881;P63045;P84087,25716;116470;25012;24803;116657,Synaptotagmin-1 ;Syntaxin-1A ;Synaptosomal-associated protein 25 ;Vesicle-associated membrane protein 2 ;Complexin-2,Syt1;Stx1a;Snap25;Vamp2;Cplx2,SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.,;Sap;Snap;Syb2;
1237,BAF complex,Human,O14497;O96019;P51531;P51532;Q12824;Q8TAQ2;Q92922;Q969G3;Q96GM5,8289;86;6595;6597;6598;6601;6599;6605;6602,AT-rich interactive domain-containing protein 1A ;Actin-like protein 6A ;Probable global transcription activator SNF2L2 ;Transcription activator BRG1 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 ;SWI/SNF complex subunit SMARCC2 ;SWI/SNF complex subunit SMARCC1 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1,ARID1A;ACTL6A;SMARCA2;SMARCA4;SMARCB1;SMARCC2;SMARCC1;SMARCE1;SMARCD1,BAF250 confers specificity to the human BAF complex and may recruit the complex to its targets through either protein-DNA or protein-protein interactions.,BAF250 BAF250A C1orf4 OSA1 SMARCF1;BAF53 BAF53A INO80K;BAF190B BRM SNF2A SNF2L2;BAF190A BRG1 SNF2B SNF2L4;BAF47 INI1 SNF5L1;BAF170;BAF155;BAF57;BAF60A
1239,EBAFb complex,Human,O96019;P51532;Q03111;Q12824;Q8NFD5;Q8TAQ2;Q92922;Q92925;Q969G3;Q96GM5,86;6597;4298;6598;57492;6601;6599;6603;6605;6602,Actin-like protein 6A ;Transcription activator BRG1 ;Protein ENL ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 ;AT-rich interactive domain-containing protein 1B ;SWI/SNF complex subunit SMARCC2 ;SWI/SNF complex subunit SMARCC1 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1,ACTL6A;SMARCA4;MLLT1;SMARCB1;ARID1B;SMARCC2;SMARCC1;SMARCD2;SMARCE1;SMARCD1,"ENL associates and cooperates with SWI/SNF complexes to activate transcription of the promoter of HoxA7, a downstream target essential for oncogenic activity of ENL.",BAF53 BAF53A INO80K;BAF190A BRG1 SNF2B SNF2L4;ENL LTG19 YEATS1;BAF47 INI1 SNF5L1;BAF250B DAN15 KIAA1235 OSA2;BAF170;BAF155;BAF60B;BAF57;BAF60A
1240,SC5bp-7 complex,Rabbit,P06684;P10643;P22458;P48747;P98136;P98137;Q9QXT7,15139;730;100009128;100009197;100009076;100009385;12274,Complement C5 ;Complement component C7;Vitronectin ;Complement component C9;Complement component C8 alpha chain ;Complement component C8 beta chain ;Complement component 6,C5;C7;VTN;C9;C8A;C8B;C6,None,Hc;;;;;;
1241,Esr1-Pit1 complex,Rat,P06211;P10037,24890;25517,Estrogen receptor ;Pituitary-specific positive transcription factor 1,Esr1;Pou1f1,The authors report that estrogen may regulate the interaction between Pit-1 and ER-alpha  proteins through diverse pathways depending on the pituitary cell types. The results also indicate that accessory factor(s) are involved in the synergistic interaction between Pit-1 and ER-alpha  proteins and that synthesis of these factors is likely to be estrogen-induced.,Esr Estr Nr3a1;Ghf-1 Pit-1 Pit1
1243,"Ubiquitin E3 ligase (SPOP, DAXX, CUL3)",Human,O43791;Q13618;Q9UER7,8405;8452;1616,Speckle-type POZ protein ;Cullin-3 ;Death domain-associated protein 6,SPOP;CUL3;DAXX,"Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. SPOP serves as an adaptor of Daxx for the ubiquitination by Cul3-based ubiquitin ligase and subsequent degradation by the proteasome. Experiments suggest that SPOP/Cul3-ubiquitin ligase plays an essential role in the control of Daxx level and, thus, in the regulation of Daxx-mediated cellular processes, including transcriptional regulation and apoptosis.",;KIAA0617;BING2 DAP6
1244,"SNARE complex (STX1A, STX1B, SNAP25, RAB3A, SYT1, VAMP2)",Bovine,P11023;P32850;P48018;P61267;P63026;Q17QQ3,282029;788566;281511;282377;282116;540853,Ras-related protein Rab-3A ;Syntaxin-1A ;Synaptotagmin-1 ;Syntaxin-1B ;Vesicle-associated membrane protein 2 ;Synaptosomal-associated protein 25,RAB3A;STX1A;SYT1;STX1B;VAMP2;SNAP25,"SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.VAMP/synaptobrevin-2 exists exclusively on the synaptic vesicle membrane and serves as a v-SNARE,while syntaxins 1A and 1 B are mostly on the presynaptic plasma membrane and thus t-SNAREs.The SNARE hypothesis proposes that fusion in membrane transport occurs by combination between a SNARE in the transport vesicle (v-SNARE)and a SNARE in the target membrane (t-SNARE).",;;;STX1B2;SYB2;
1245,Protein phosphatase 4 complex,Human,P60510;Q9NY27,5531;151987,Serine/threonine-protein phosphatase 4 catalytic subunit ;Serine/threonine-protein phosphatase 4 regulatory subunit 2,PPP4C;PPP4R2,Protein phosphatase 4 (PPP4) is a protein serine/threonine phosphatase that has been implicated in microtubule organization at centrosomes.,PPP4 PPX;
1246,ERdj3-BiP complex,Mouse,P20029;Q99KV1,14828;67838,78 kDa glucose-regulated protein ;DnaJ homolog subfamily B member 11,Hspa5;Dnajb11,"ERdj3, a stress-inducible endoplasmic reticulum DnaJ homologue, serves as a cofactor for interactions of the chaperone BiP with unfolded substrates.",Grp78;
1247,"SNARE complex (STX1a, STX1b, SNAP25, RAB3a, SYT1, VAMP2, CPLX2)",Bovine,P11023;P32850;P48018;P61267;P63026;P84088;Q17QQ3,282029;788566;281511;282377;282116;281711;540853,Ras-related protein Rab-3A ;Syntaxin-1A ;Synaptotagmin-1 ;Syntaxin-1B ;Vesicle-associated membrane protein 2 ;Complexin-2 ;Synaptosomal-associated protein 25,RAB3A;STX1A;SYT1;STX1B;VAMP2;CPLX2;SNAP25,SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.Synaphin (19a component) constantly copurifies with the docking/fusion complex irrespective of detergent.It seems to regulate the efficiency of the docking/fusion complex.,;;;STX1B2;SYB2;;
1248,Apoptosome,Human,O14727;P99999,317;54205,Apoptotic protease-activating factor 1 ;Cytochrome c,APAF1;CYCS,"The apoptosome is a multiprotein complex mediating the mitochondrial pathway of cell death. Oligomeric Apaf-1 mediates the cytochrome c-dependent autocatalytic activation of pro-caspase-9 (Apaf-3), leading to the activation of caspase-3 and apoptosis. In the absence of an apoptotic signal, Apaf-1 exists in a monomeric form.",KIAA0413;CYC
1250,pRB-E2F-1 complex,Human,P06400;Q01094,5925;1869,Retinoblastoma-associated protein ;Transcription factor E2F1,RB1;E2F1,"The phosphorylation of pRB at Ser612 is induced by ATM-Chk1/2 kinase after DNA damage, leading to enhancement of the formation of a complex between pRB and E2F-1. It is proposed, that in asynchronously growing cells, pRB exists in a predominantly phosphorylated state, which is dissociated from E2F, allowing E2F-dependent transcription. DNA damage induces dephosphorylation of pRB at Cdk phosphorylation sites, leading to the complex pRB-E2F-1 being formed. DNA damage also activates ATM kinase and transduces signals to the checkpoint kinases Chk1 and Chk2. Activated Chk1 and Chk2 phosphorylate Ser612 of pRB and this phosphorylation enhances the formation of a complex between pRB and E2F-1, leading to repression of the transcriptional activity of E2F-1. Consequently, pRB-dependent cell cycle arrest and repression of apoptosis occur.",;RBBP3
